impress,を感動させる
urge,を熱心に勧める
convey,を伝達する
celebrate,（行事など）を祝う
admire,感嘆する
devote,（時間など）を充てる
dominate,を支配する、統治する
eliminate,を取り除く
restrict,を制限する
isolate,を切り離す
endanger,を（滅亡の）危険にさらす
secure,を確保する
reserve,を予約する
possess,（性質・能力など）を持っている
launch,を始める
detect,を見つける、検出する
reverse,を逆転させる、転換する
convert,を変える
hurry,急ぐ
rush,急いで行く
roll,転がる
crash,（大きな音を立てて）衝突する
bury,を埋める
dig,を掘る
attach,を付ける、愛着を抱いている
melt,（熱で）溶ける
accompany,と一緒に行く
assist,（人）を手伝う
cope,（うまく）対処する
lend,（人）に（物）を貸す
rent,を賃借りする
owe,（人）に（金など）を借りている、おかげである
apologize,謝る
forgive,（人の罪など）を許す
tongue,言語
dialect,方言
accent,なまり、方言
colony,植民（地）
grain,穀物
harvest,収穫
ingredient,（料理の）材料
portion,部分、（食べ物の）一人前
hunger,飢え
obesity,肥満
burden,（精神的）負担、重荷
emergency,緊急（事態）
debt,借金
contract,契約
client,得意客
therapy,（心理）療法
physician,内科医、医師
democracy,民主主義
election,選挙
vote,投票
candidate,候補者
minister,大臣
conference,会議
ceremony,式典、儀式
institution,機関、制度
corporation,（大）企業
cooperation,協力、共同
authority,当局
theme,主題、テーマ
notion,考え
hypothesis,仮説
discipline,規律、しつけ
route,道（筋）
routine,日課、決まりきった仕事
destination,目的地
domestic,国内の
ethnic,民族の、人種の
alien,異質の
visible,目に見える
verbal,言葉による
fundamental,基本の
conventional,従来の、ありきたりの
relevant,関係のある
rational,合理的な
precise,正確な
principal,主要な
crucial,重大な
permanent,永続的な
intense,激しい、強烈な
equivalent,相当する
frequent,頻繁な
sudden,急な
temporary,臨時の、一時的な
internal,内部の
external,外部の
distinct,まったく異なる
extinct,絶滅した
exhausted,疲れ果てた
evil,邪悪な
greet,（人）にあいさつする
chat,おしゃべりをする
remark,と述べる、言う
command,を命ずる
utter,（言葉など）を発する
declare,を宣言する
pronounce,を発音する
correspond,一致する、（手紙などで）連絡を取り合う
imitate,をまねる
resemble,に似ている
exhibit,を（展覧会などに）展示する、（感情、兆候など）を示す
distribute,を分配する
attribute,（結果）を（～の）せい[おかげ]と考える(on)
evaluate,を評価する
assess,を評価する
deserve,に値する
weigh,の重さがある、の重さを量る
strengthen,を強くする
weaken,を弱める
approve,賛成する
assign,（仕事など）を割り当てる
sustain,を持続させる
accomplish,を成し遂げる
relieve,（苦痛など）を和らげる、（不安など）を減らす
frustrate,に不満を抱かせる
scare,を怖がらせる
resist,を我慢する
protest,抗議する
shut,を閉める
defeat,（対戦相手）を負かす
neglect,を怠る
retire,引退する
reform,を改革する、改善する
collapse,崩壊する、倒れる
ruin,を台無しにする
sink,沈む
pile,を積み重ねる
derive,を得る、引き出す、由来する
yield,を産出する、（利益など）を生む、屈する
occupy,を占める、を占領する
wrap,を包む
embrace,を抱きしめる、（申し出など）を受け入れる
length,（物や時間の）長さ
height,高度
volume,（総）量、体積、容積
sum,金額
frame,額縁
boundary,境界（線）
district,（行政などの）地区
territory,領土
square,正方形
empire,帝国
heritage,（文化、自然）遺産
fee,料金
discount,割引
charity,慈善事業
mission,使命、任務
profession,（専門的な）職業
slave,奴隷
witness,目撃者
incident,出来事
insurance,保険
welfare,福祉
treasure,宝物
leisure,余暇
priority,優先事項
reputation,評判
honor,光栄
statue,像、彫像
architecture,建築（学）
logic,論理
mechanism,仕組み
clue,手がかり
means,手段
trap,わな
trick,策略、いたずら
guard,警戒；護衛者
innocent,無罪の
guilty,罪悪感のある、有罪の
rude,無礼な
shy,内気な、恥ずかしがりの
liberal,寛大な
stupid,愚かな
reluctant,気が進まない
generous,気前のよい
modest,控えめな
lonely,（孤独で）寂しい
pure,純粋な
grand,豪華な、雄大な
adequate,十分な
apparent,（見て）明らかな、見たところ?らしい
classic,（芸術などが）最高水準の、典型的な
remote,遠く離れた
